                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.083,                0.98493,                 1.2509,                0.79788,                0.64393,                0.74005,                0.55687,                0.92684,                0.80022,                 1.0922,               0.070009,              0.0033323,              0.0033323
                      2,                 1.0641,                0.94853,                 1.2366,                0.83096,                0.67887,                0.77871,                0.58557,                0.92863,                0.71556,                 1.0878,               0.039844,              0.0065006,              0.0065006
                      3,                 1.0567,                0.93441,                 1.2308,                0.82218,                0.68139,                0.77862,                 0.5829,                0.93448,                0.72086,                 1.0881,              0.0095145,               0.009504,               0.009504
                      4,                 1.0545,                0.93795,                 1.2322,                0.83219,                 0.6785,                0.78543,                 0.5896,                0.91413,                0.70984,                 1.0756,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.0479,                0.92616,                 1.2293,                0.83103,                0.68302,                0.78138,                0.58724,                0.92578,                0.71285,                 1.0815,                0.00901,                0.00901,                0.00901
                      6,                 1.0559,                0.93067,                 1.2296,                0.82559,                0.69466,                0.79043,                0.59643,                 0.9087,                0.70169,                 1.0668,              0.0087625,              0.0087625,              0.0087625
                      7,                 1.0483,                 0.9225,                 1.2303,                0.82431,                0.69396,                0.79204,                0.59428,                0.92156,                0.69367,                 1.0741,               0.008515,               0.008515,               0.008515
                      8,                 1.0383,                0.90822,                 1.2232,                0.83356,                0.69086,                0.79359,                0.59517,                0.92458,                0.68994,                 1.0787,              0.0082675,              0.0082675,              0.0082675
                      9,                 1.0341,                 0.8991,                 1.2223,                0.83043,                0.69773,                0.79741,                0.60254,                0.90563,                0.67892,                 1.0682,                0.00802,                0.00802,                0.00802
                     10,                 1.0427,                0.89793,                 1.2207,                0.84242,                0.70642,                0.80482,                0.60336,                0.92239,                0.67087,                 1.0694,              0.0077725,              0.0077725,              0.0077725
                     11,                 1.0332,                0.88849,                 1.2213,                0.83598,                0.70657,                0.80457,                0.60883,                0.90015,                0.67023,                 1.0608,               0.007525,               0.007525,               0.007525
                     12,                 1.0344,                0.88217,                 1.2191,                 0.8459,                0.70775,                 0.8102,                0.61404,                0.89743,                 0.6625,                 1.0597,              0.0072775,              0.0072775,              0.0072775
                     13,                 1.0323,                0.87376,                 1.2141,                0.84325,                0.71504,                0.81176,                0.61447,                0.89706,                0.65628,                  1.057,                0.00703,                0.00703,                0.00703
                     14,                 1.0277,                0.86104,                 1.2101,                0.85029,                0.71126,                0.81084,                0.61456,                0.89526,                0.65249,                 1.0565,              0.0067825,              0.0067825,              0.0067825
                     15,                 1.0305,                0.86142,                 1.2128,                0.85204,                0.72084,                0.81744,                0.62075,                0.89372,                0.64725,                 1.0575,               0.006535,               0.006535,               0.006535
                     16,                 1.0175,                0.84904,                 1.2073,                0.85643,                 0.7188,                0.81698,                0.62193,                0.89198,                0.64019,                 1.0502,              0.0062875,              0.0062875,              0.0062875
                     17,                 1.0148,                0.84623,                 1.2054,                0.85215,                0.72195,                0.81935,                0.62504,                0.88703,                0.63598,                 1.0501,                0.00604,                0.00604,                0.00604
                     18,                 1.0074,                0.83186,                 1.2007,                0.85799,                0.72368,                0.82155,                0.62573,                0.88484,                0.63388,                 1.0495,              0.0057925,              0.0057925,              0.0057925
                     19,                0.99882,                0.82446,                 1.1974,                 0.8585,                0.72374,                0.82244,                0.62721,                 0.8855,                0.63077,                 1.0482,               0.005545,               0.005545,               0.005545
                     20,                 1.0082,                0.81443,                 1.1959,                0.86018,                0.72436,                 0.8242,                0.63084,                0.87521,                0.62409,                 1.0443,              0.0052975,              0.0052975,              0.0052975
                     21,                0.99929,                 0.8151,                 1.1947,                0.85752,                0.72658,                0.82386,                0.63138,                0.87409,                0.62129,                 1.0425,                0.00505,                0.00505,                0.00505
                     22,                0.99866,                0.81036,                 1.1933,                0.86101,                0.72945,                0.82733,                0.63148,                 0.8805,                0.61946,                 1.0447,              0.0048025,              0.0048025,              0.0048025
                     23,                0.99242,                0.79923,                 1.1894,                0.86044,                0.73382,                0.82838,                 0.6347,                0.87602,                0.61528,                 1.0419,               0.004555,               0.004555,               0.004555
                     24,                0.99629,                0.79683,                 1.1907,                0.86388,                0.73406,                0.83154,                0.63807,                0.87016,                0.61033,                 1.0392,              0.0043075,              0.0043075,              0.0043075
                     25,                 0.9882,                0.78632,                 1.1878,                0.86516,                0.73287,                0.83045,                0.63823,                0.86663,                0.60997,                 1.0385,                0.00406,                0.00406,                0.00406
                     26,                0.98414,                0.77972,                 1.1828,                0.86362,                0.73404,                0.82975,                0.63729,                0.87024,                0.60951,                 1.0387,              0.0038125,              0.0038125,              0.0038125
                     27,                0.97917,                0.77276,                 1.1817,                0.86237,                0.73697,                0.83048,                0.63891,                0.86904,                 0.6076,                  1.038,               0.003565,               0.003565,               0.003565
                     28,                0.96953,                0.76213,                 1.1757,                0.86703,                0.73788,                0.83236,                0.64069,                0.86734,                0.60437,                 1.0366,              0.0033175,              0.0033175,              0.0033175
                     29,                0.97175,                0.76198,                 1.1758,                0.86906,                0.73872,                0.83405,                0.64183,                0.86609,                0.60101,                 1.0354,                0.00307,                0.00307,                0.00307
                     30,                0.97207,                0.75346,                 1.1746,                0.87076,                0.73804,                0.83497,                0.64326,                0.86198,                0.59865,                 1.0335,              0.0028225,              0.0028225,              0.0028225
                     31,                0.91334,                 0.6696,                 1.1494,                 0.8742,                0.73661,                0.83486,                0.64366,                0.86219,                0.59722,                 1.0336,               0.002575,               0.002575,               0.002575
                     32,                0.90296,                0.65509,                 1.1437,                0.87553,                0.73667,                0.83477,                0.64455,                0.85989,                0.59641,                  1.032,              0.0023275,              0.0023275,              0.0023275
                     33,                0.89861,                0.64446,                 1.1408,                0.87509,                0.73719,                0.83363,                0.64393,                0.85966,                0.59672,                 1.0317,                0.00208,                0.00208,                0.00208
                     34,                0.89244,                0.63505,                 1.1362,                0.87337,                0.73666,                0.83262,                 0.6439,                0.85759,                0.59617,                 1.0305,              0.0018325,              0.0018325,              0.0018325
                     35,                0.89058,                0.62365,                 1.1339,                0.87595,                 0.7346,                0.83152,                0.64416,                0.85598,                0.59571,                 1.0297,               0.001585,               0.001585,               0.001585
                     36,                0.88618,                0.62127,                 1.1309,                0.87422,                0.73486,                0.83103,                0.64404,                0.85542,                0.59549,                 1.0293,              0.0013375,              0.0013375,              0.0013375
                     37,                0.87399,                0.60621,                 1.1264,                0.87438,                0.73413,                0.83083,                0.64407,                0.85511,                0.59496,                  1.029,                0.00109,                0.00109,                0.00109
                     38,                0.87534,                 0.6044,                 1.1234,                0.87409,                0.73291,                0.83023,                0.64408,                0.85479,                0.59482,                 1.0286,              0.0008425,              0.0008425,              0.0008425
                     39,                0.87155,                0.60119,                 1.1212,                0.87592,                0.73147,                0.83006,                0.64419,                0.85413,                0.59444,                 1.0281,               0.000595,               0.000595,               0.000595
                     40,                0.87163,                0.59793,                 1.1235,                0.87504,                0.73199,                0.82957,                0.64412,                  0.854,                 0.5943,                 1.0278,              0.0003475,              0.0003475,              0.0003475
